ID,Categoria,Canal,Nota,Feedback
1,Aplicativo,Aplicativo,4,"No aplicativo, relacionado à categoria aplicativo, fiquei satisfeito. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
2,Atendimento,Agência,3,"No agência, relacionado à categoria atendimento, a experiência foi razoável. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
3,PIX,Chat,1,"No chat, relacionado à categoria pix, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
4,Cartão,Telefone,2,"No telefone, relacionado à categoria cartão, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
5,Empréstimos,Site,5,"No site, relacionado à categoria empréstimos, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
6,Conta Corrente,E-mail,1,"No e-mail, relacionado à categoria conta corrente, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
7,Internet Banking,Aplicativo,4,"No aplicativo, relacionado à categoria internet banking, fiquei satisfeito. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
8,Investimentos,Agência,5,"No agência, relacionado à categoria investimentos, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
9,Agência,Chat,1,"No chat, relacionado à categoria agência, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
10,Segurança,Telefone,2,"No telefone, relacionado à categoria segurança, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
11,Aplicativo,Site,5,"No site, relacionado à categoria aplicativo, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
12,Atendimento,E-mail,2,"No e-mail, relacionado à categoria atendimento, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
13,PIX,Aplicativo,5,"No aplicativo, relacionado à categoria pix, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
14,Cartão,Agência,1,"No agência, relacionado à categoria cartão, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
15,Empréstimos,Chat,2,"No chat, relacionado à categoria empréstimos, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
16,Conta Corrente,Telefone,1,"No telefone, relacionado à categoria conta corrente, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
17,Internet Banking,Site,2,"No site, relacionado à categoria internet banking, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
18,Investimentos,E-mail,2,"No e-mail, relacionado à categoria investimentos, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
19,Agência,Aplicativo,1,"No aplicativo, relacionado à categoria agência, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
20,Segurança,Agência,4,"No agência, relacionado à categoria segurança, fiquei satisfeito. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
21,Aplicativo,Chat,5,"No chat, relacionado à categoria aplicativo, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
22,Atendimento,Telefone,3,"No telefone, relacionado à categoria atendimento, a experiência foi razoável. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
23,PIX,Site,2,"No site, relacionado à categoria pix, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
24,Cartão,E-mail,5,"No e-mail, relacionado à categoria cartão, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
25,Empréstimos,Aplicativo,5,"No aplicativo, relacionado à categoria empréstimos, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
26,Conta Corrente,Agência,1,"No agência, relacionado à categoria conta corrente, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
27,Internet Banking,Chat,4,"No chat, relacionado à categoria internet banking, fiquei satisfeito. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
28,Investimentos,Telefone,2,"No telefone, relacionado à categoria investimentos, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
29,Agência,Site,5,"No site, relacionado à categoria agência, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
30,Segurança,E-mail,5,"No e-mail, relacionado à categoria segurança, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
31,Aplicativo,Aplicativo,4,"No aplicativo, relacionado à categoria aplicativo, fiquei satisfeito. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
32,Atendimento,Agência,5,"No agência, relacionado à categoria atendimento, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
33,PIX,Chat,1,"No chat, relacionado à categoria pix, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
34,Cartão,Telefone,4,"No telefone, relacionado à categoria cartão, fiquei satisfeito. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
35,Empréstimos,Site,1,"No site, relacionado à categoria empréstimos, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
36,Conta Corrente,E-mail,3,"No e-mail, relacionado à categoria conta corrente, a experiência foi razoável. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
37,Internet Banking,Aplicativo,2,"No aplicativo, relacionado à categoria internet banking, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
38,Investimentos,Agência,1,"No agência, relacionado à categoria investimentos, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
39,Agência,Chat,5,"No chat, relacionado à categoria agência, superou minhas expectativas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
40,Segurança,Telefone,3,"No telefone, relacionado à categoria segurança, a experiência foi razoável. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
41,Aplicativo,Site,3,"No site, relacionado à categoria aplicativo, a experiência foi razoável. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
42,Atendimento,E-mail,4,"No e-mail, relacionado à categoria atendimento, fiquei satisfeito. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
43,PIX,Aplicativo,1,"No aplicativo, relacionado à categoria pix, tive uma experiência muito ruim. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
44,Cartão,Agência,2,"No agência, relacionado à categoria cartão, enfrentei alguns problemas. O processo poderia ser mais claro, com comunicação objetiva e melhorias contínuas para facilitar o uso e aumentar a confiança no serviço."
